,hTeam,hGoals,hPenalties,hResult,aTeam,aGoals,aPenalties,aResult,mType,mDate,comp
2259,Scotland,3,,W,USSR,0,,L,Group Stage,18.06.92,Euros 1992
2260,Netherlands,2,,W,Germany,0,,L,Group Stage,18.06.92,Euros 1992
2261,Netherlands,2,,W,USSR,0,,L,Final,25.06.88,Euros 1988
2262,Germany,1,,L,Netherlands,2,,W,Semi-finals,21.06.88,Euros 1988
2263,USSR,2,,W,Italy,0,,L,Semi-finals,22.06.88,Euros 1988
2264,Germany,1,,D,Italy,1,,D,Group Stage,10.06.88,Euros 1988
2265,Denmark,2,,L,Spain,3,,W,Group Stage,11.06.88,Euros 1988
2266,Germany,2,,W,Denmark,0,,L,Group Stage,14.06.88,Euros 1988
2267,Italy,1,,W,Spain,0,,L,Group Stage,14.06.88,Euros 1988
2268,Germany,2,,W,Spain,0,,L,Group Stage,17.06.88,Euros 1988
2269,Italy,2,,W,Denmark,0,,L,Group Stage,17.06.88,Euros 1988
2270,England,0,,L,Ireland,1,,W,Group Stage,12.06.88,Euros 1988
2271,Netherlands,0,,L,USSR,1,,W,Group Stage,12.06.88,Euros 1988
2272,England,1,,L,Netherlands,3,,W,Group Stage,15.06.88,Euros 1988
2273,Ireland,1,,D,USSR,1,,D,Group Stage,15.06.88,Euros 1988
2274,England,1,,L,USSR,3,,W,Group Stage,18.06.88,Euros 1988
2275,Ireland,0,,L,Netherlands,1,,W,Group Stage,18.06.88,Euros 1988
2276,Romania,4,,W,Austria,0,,L,Group Stage,10.09.86,"Euros 1988, Qualifiers"
2277,Austria,3,,W,Albania,0,,L,Group Stage,15.10.86,"Euros 1988, Qualifiers"
2278,Spain,1,,W,Romania,0,,L,Group Stage,12.11.86,"Euros 1988, Qualifiers"
2279,Albania,1,,L,Spain,2,,W,Group Stage,03.12.86,"Euros 1988, Qualifiers"
2280,Romania,5,,W,Albania,1,,L,Group Stage,25.03.87,"Euros 1988, Qualifiers"
2281,Austria,2,,L,Spain,3,,W,Group Stage,01.04.87,"Euros 1988, Qualifiers"
2282,Albania,0,,L,Austria,1,,W,Group Stage,29.04.87,"Euros 1988, Qualifiers"
2283,Romania,3,,W,Spain,1,,L,Group Stage,29.04.87,"Euros 1988, Qualifiers"
2284,Spain,2,,W,Austria,0,,L,Group Stage,14.10.87,"Euros 1988, Qualifiers"
2285,Albania,0,,L,Romania,1,,W,Group Stage,28.10.87,"Euros 1988, Qualifiers"
2286,Austria,0,,D,Romania,0,,D,Group Stage,18.11.87,"Euros 1988, Qualifiers"
2287,Spain,5,,W,Albania,0,,L,Group Stage,18.11.87,"Euros 1988, Qualifiers"
2288,Sweden,2,,W,Switzerland,0,,L,Group Stage,24.09.86,"Euros 1988, Qualifiers"
2289,Portugal,1,,D,Sweden,1,,D,Group Stage,12.10.86,"Euros 1988, Qualifiers"
2290,Switzerland,1,,D,Portugal,1,,D,Group Stage,29.10.86,"Euros 1988, Qualifiers"
2291,Italy,3,,W,Switzerland,2,,L,Group Stage,15.11.86,"Euros 1988, Qualifiers"
2292,Malta,0,,L,Sweden,5,,W,Group Stage,16.11.86,"Euros 1988, Qualifiers"
2293,Malta,0,,L,Italy,2,,W,Group Stage,06.12.86,"Euros 1988, Qualifiers"
2294,Italy,5,,W,Malta,0,,L,Group Stage,24.01.87,"Euros 1988, Qualifiers"
2295,Portugal,0,,L,Italy,1,,W,Group Stage,14.02.87,"Euros 1988, Qualifiers"
2296,Portugal,2,,D,Malta,2,,D,Group Stage,29.03.87,"Euros 1988, Qualifiers"
2297,Switzerland,4,,W,Malta,1,,L,Group Stage,15.04.87,"Euros 1988, Qualifiers"
2298,Sweden,1,,W,Malta,0,,L,Group Stage,24.05.87,"Euros 1988, Qualifiers"
2299,Sweden,1,,W,Italy,0,,L,Group Stage,03.06.87,"Euros 1988, Qualifiers"
2300,Switzerland,1,,D,Sweden,1,,D,Group Stage,17.06.87,"Euros 1988, Qualifiers"
2301,Sweden,0,,L,Portugal,1,,W,Group Stage,23.09.87,"Euros 1988, Qualifiers"
2302,Switzerland,0,,D,Italy,0,,D,Group Stage,17.10.87,"Euros 1988, Qualifiers"
2303,Portugal,0,,D,Switzerland,0,,D,Group Stage,11.11.87,"Euros 1988, Qualifiers"
2304,Italy,2,,W,Sweden,1,,L,Group Stage,14.11.87,"Euros 1988, Qualifiers"
2305,Malta,1,,D,Switzerland,1,,D,Group Stage,15.11.87,"Euros 1988, Qualifiers"
2306,Italy,3,,W,Portugal,0,,L,Group Stage,05.12.87,"Euros 1988, Qualifiers"
2307,Malta,0,,L,Portugal,1,,W,Group Stage,20.12.87,"Euros 1988, Qualifiers"
2308,Iceland,0,,D,France,0,,D,Group Stage,10.09.86,"Euros 1988, Qualifiers"
2309,Iceland,1,,D,USSR,1,,D,Group Stage,24.09.86,"Euros 1988, Qualifiers"
2310,Norway,0,,D,GDR,0,,D,Group Stage,24.09.86,"Euros 1988, Qualifiers"
2311,France,0,,L,USSR,2,,W,Group Stage,11.10.86,"Euros 1988, Qualifiers"
2312,GDR,2,,W,Iceland,0,,L,Group Stage,29.10.86,"Euros 1988, Qualifiers"
2313,USSR,4,,W,Norway,0,,L,Group Stage,29.10.86,"Euros 1988, Qualifiers"
2314,GDR,0,,D,France,0,,D,Group Stage,19.11.86,"Euros 1988, Qualifiers"
2315,USSR,2,,W,GDR,0,,L,Group Stage,29.04.87,"Euros 1988, Qualifiers"
2316,France,2,,W,Iceland,0,,L,Group Stage,29.04.87,"Euros 1988, Qualifiers"
2317,Norway,0,,L,USSR,1,,W,Group Stage,03.06.87,"Euros 1988, Qualifiers"
2318,Iceland,0,,L,GDR,6,,W,Group Stage,03.06.87,"Euros 1988, Qualifiers"
2319,Norway,2,,W,France,0,,L,Group Stage,16.06.87,"Euros 1988, Qualifiers"
2320,USSR,1,,D,France,1,,D,Group Stage,09.09.87,"Euros 1988, Qualifiers"
2321,Iceland,2,,W,Norway,1,,L,Group Stage,09.09.87,"Euros 1988, Qualifiers"
2322,Norway,0,,L,Iceland,1,,W,Group Stage,23.09.87,"Euros 1988, Qualifiers"
2323,GDR,1,,D,USSR,1,,D,Group Stage,10.10.87,"Euros 1988, Qualifiers"
2324,France,1,,D,Norway,1,,D,Group Stage,14.10.87,"Euros 1988, Qualifiers"
2325,GDR,3,,W,Norway,1,,L,Group Stage,28.10.87,"Euros 1988, Qualifiers"
2326,USSR,2,,W,Iceland,0,,L,Group Stage,28.10.87,"Euros 1988, Qualifiers"
2327,France,0,,L,GDR,1,,W,Group Stage,18.11.87,"Euros 1988, Qualifiers"
2328,England,3,,W,North. Ireland,0,,L,Group Stage,15.10.86,"Euros 1988, Qualifiers"
2329,Yugoslavia,4,,W,Türkiye,0,,L,Group Stage,29.10.86,"Euros 1988, Qualifiers"
2330,Türkiye,0,,D,North. Ireland,0,,D,Group Stage,12.11.86,"Euros 1988, Qualifiers"
2331,England,2,,W,Yugoslavia,0,,L,Group Stage,12.11.86,"Euros 1988, Qualifiers"
2332,North. Ireland,0,,L,England,2,,W,Group Stage,01.04.87,"Euros 1988, Qualifiers"
2333,Türkiye,0,,D,England,0,,D,Group Stage,29.04.87,"Euros 1988, Qualifiers"
2334,North. Ireland,1,,L,Yugoslavia,2,,W,Group Stage,29.04.87,"Euros 1988, Qualifiers"
2335,Yugoslavia,3,,W,North. Ireland,0,,L,Group Stage,14.10.87,"Euros 1988, Qualifiers"
2336,England,8,,W,Türkiye,0,,L,Group Stage,14.10.87,"Euros 1988, Qualifiers"
2337,Yugoslavia,1,,L,England,4,,W,Group Stage,11.11.87,"Euros 1988, Qualifiers"
2338,North. Ireland,1,,W,Türkiye,0,,L,Group Stage,11.11.87,"Euros 1988, Qualifiers"
2339,Türkiye,2,,L,Yugoslavia,3,,W,Group Stage,16.12.87,"Euros 1988, Qualifiers"
2340,Poland,2,,W,Greece,1,,L,Group Stage,15.10.86,"Euros 1988, Qualifiers"
2341,Hungary,0,,L,Netherlands,1,,W,Group Stage,15.10.86,"Euros 1988, Qualifiers"
2342,Greece,2,,W,Hungary,1,,L,Group Stage,12.11.86,"Euros 1988, Qualifiers"
2343,Netherlands,0,,D,Poland,0,,D,Group Stage,19.11.86,"Euros 1988, Qualifiers"
2344,Cyprus,2,,L,Greece,4,,W,Group Stage,03.12.86,"Euros 1988, Qualifiers"
2345,Cyprus,0,,L,Netherlands,2,,W,Group Stage,12.12.86,"Euros 1988, Qualifiers"
2346,Greece,3,,W,Cyprus,1,,L,Group Stage,14.01.87,"Euros 1988, Qualifiers"
2347,Cyprus,0,,L,Hungary,1,,W,Group Stage,08.02.87,"Euros 1988, Qualifiers"
2348,Netherlands,1,,D,Greece,1,,D,Group Stage,25.03.87,"Euros 1988, Qualifiers"
2349,Poland,0,,D,Cyprus,0,,D,Group Stage,12.04.87,"Euros 1988, Qualifiers"
2350,Greece,1,,W,Poland,0,,L,Group Stage,29.04.87,"Euros 1988, Qualifiers"
2351,Netherlands,2,,W,Hungary,0,,L,Group Stage,29.04.87,"Euros 1988, Qualifiers"
2352,Hungary,5,,W,Poland,3,,L,Group Stage,17.05.87,"Euros 1988, Qualifiers"
2353,Poland,3,,W,Hungary,2,,L,Group Stage,23.09.87,"Euros 1988, Qualifiers"
2354,Poland,0,,L,Netherlands,2,,W,Group Stage,14.10.87,"Euros 1988, Qualifiers"
2355,Hungary,3,,W,Greece,0,,L,Group Stage,14.10.87,"Euros 1988, Qualifiers"
2356,Cyprus,0,,L,Poland,1,,W,Group Stage,11.11.87,"Euros 1988, Qualifiers"
2357,Hungary,1,,W,Cyprus,0,,L,Group Stage,02.12.87,"Euros 1988, Qualifiers"
2358,Netherlands,4,,W,Cyprus,0,,L,Group Stage,09.12.87,"Euros 1988, Qualifiers"
2359,Greece,0,,L,Netherlands,3,,W,Group Stage,16.12.87,"Euros 1988, Qualifiers"
2360,Finland,1,,D,Wales,1,,D,Group Stage,10.09.86,"Euros 1988, Qualifiers"
2361,ČSSR,3,,W,Finland,0,,L,Group Stage,15.10.86,"Euros 1988, Qualifiers"
2362,Denmark,1,,W,Finland,0,,L,Group Stage,29.10.86,"Euros 1988, Qualifiers"
2363,ČSSR,0,,D,Denmark,0,,D,Group Stage,12.11.86,"Euros 1988, Qualifiers"
2364,Wales,4,,W,Finland,0,,L,Group Stage,01.04.87,"Euros 1988, Qualifiers"
2365,Finland,0,,L,Denmark,1,,W,Group Stage,29.04.87,"Euros 1988, Qualifiers"
2366,Wales,1,,D,ČSSR,1,,D,Group Stage,29.04.87,"Euros 1988, Qualifiers"
2367,Denmark,1,,D,ČSSR,1,,D,Group Stage,03.06.87,"Euros 1988, Qualifiers"
2368,Finland,3,,W,ČSSR,0,,L,Group Stage,09.09.87,"Euros 1988, Qualifiers"
2369,Wales,1,,W,Denmark,0,,L,Group Stage,09.09.87,"Euros 1988, Qualifiers"
2370,Denmark,1,,W,Wales,0,,L,Group Stage,14.10.87,"Euros 1988, Qualifiers"
2371,ČSSR,2,,W,Wales,0,,L,Group Stage,11.11.87,"Euros 1988, Qualifiers"
2372,Belgium,2,,D,Ireland,2,,D,Group Stage,10.09.86,"Euros 1988, Qualifiers"
2373,Scotland,0,,D,Bulgaria,0,,D,Group Stage,10.09.86,"Euros 1988, Qualifiers"
2374,Luxembourg,0,,L,Belgium,6,,W,Group Stage,14.10.86,"Euros 1988, Qualifiers"
2375,Ireland,0,,D,Scotland,0,,D,Group Stage,15.10.86,"Euros 1988, Qualifiers"
2376,Scotland,3,,W,Luxembourg,0,,L,Group Stage,12.11.86,"Euros 1988, Qualifiers"
2377,Belgium,1,,D,Bulgaria,1,,D,Group Stage,19.11.86,"Euros 1988, Qualifiers"
2378,Scotland,0,,L,Ireland,1,,W,Group Stage,18.02.87,"Euros 1988, Qualifiers"
2379,Bulgaria,2,,W,Ireland,1,,L,Group Stage,01.04.87,"Euros 1988, Qualifiers"
2380,Belgium,4,,W,Scotland,1,,L,Group Stage,01.04.87,"Euros 1988, Qualifiers"
2381,Ireland,0,,D,Belgium,0,,D,Group Stage,29.04.87,"Euros 1988, Qualifiers"
2382,Luxembourg,1,,L,Bulgaria,4,,W,Group Stage,30.04.87,"Euros 1988, Qualifiers"
2383,Bulgaria,3,,W,Luxembourg,0,,L,Group Stage,20.05.87,"Euros 1988, Qualifiers"
2384,Luxembourg,0,,L,Ireland,2,,W,Group Stage,28.05.87,"Euros 1988, Qualifiers"
2385,Ireland,2,,W,Luxembourg,1,,L,Group Stage,09.09.87,"Euros 1988, Qualifiers"
2386,Bulgaria,2,,W,Belgium,0,,L,Group Stage,23.09.87,"Euros 1988, Qualifiers"
2387,Ireland,2,,W,Bulgaria,0,,L,Group Stage,14.10.87,"Euros 1988, Qualifiers"
2388,Scotland,2,,W,Belgium,0,,L,Group Stage,14.10.87,"Euros 1988, Qualifiers"
2389,Belgium,3,,W,Luxembourg,0,,L,Group Stage,11.11.87,"Euros 1988, Qualifiers"
2390,Bulgaria,0,,L,Scotland,1,,W,Group Stage,11.11.87,"Euros 1988, Qualifiers"
2391,Luxembourg,0,,D,Scotland,0,,D,Group Stage,02.12.87,"Euros 1988, Qualifiers"
2392,France,2,,W,Spain,0,,L,Final,27.06.84,Euros 1984
2393,France,3,,W,Portugal,2,,L,Semi-finals,23.06.84,Euros 1984
2394,Denmark,1,4,L,Spain,1,5,W,Semi-finals,24.06.84,Euros 1984
2395,France,1,,W,Denmark,0,,L,Group Stage,12.06.84,Euros 1984
2396,Belgium,2,,W,Yugoslavia,0,,L,Group Stage,13.06.84,Euros 1984
2397,France,5,,W,Belgium,0,,L,Group Stage,16.06.84,Euros 1984
2398,Denmark,5,,W,Yugoslavia,0,,L,Group Stage,16.06.84,Euros 1984
2399,France,3,,W,Yugoslavia,2,,L,Group Stage,19.06.84,Euros 1984
2400,Denmark,3,,W,Belgium,2,,L,Group Stage,19.06.84,Euros 1984
2401,Germany,0,,D,Portugal,0,,D,Group Stage,14.06.84,Euros 1984
2402,Romania,1,,D,Spain,1,,D,Group Stage,14.06.84,Euros 1984
2403,Germany,2,,W,Romania,1,,L,Group Stage,17.06.84,Euros 1984
2404,Portugal,1,,D,Spain,1,,D,Group Stage,17.06.84,Euros 1984
2405,Germany,0,,L,Spain,1,,W,Group Stage,20.06.84,Euros 1984
2406,Portugal,1,,W,Romania,0,,L,Group Stage,20.06.84,Euros 1984
2407,Belgium,3,,W,Switzerland,0,,L,Group Stage,06.10.82,"Euros 1984, Qualifiers"
2408,Scotland,2,,W,GDR,0,,L,Group Stage,13.10.82,"Euros 1984, Qualifiers"
2409,Switzerland,2,,W,Scotland,0,,L,Group Stage,17.11.82,"Euros 1984, Qualifiers"
2410,Belgium,3,,W,Scotland,2,,L,Group Stage,15.12.82,"Euros 1984, Qualifiers"
2411,GDR,1,,L,Belgium,2,,W,Group Stage,30.03.83,"Euros 1984, Qualifiers"
2412,Scotland,2,,D,Switzerland,2,,D,Group Stage,30.03.83,"Euros 1984, Qualifiers"
2413,Belgium,2,,W,GDR,1,,L,Group Stage,27.04.83,"Euros 1984, Qualifiers"
2414,Switzerland,0,,D,GDR,0,,D,Group Stage,14.05.83,"Euros 1984, Qualifiers"
2415,GDR,3,,W,Switzerland,0,,L,Group Stage,12.10.83,"Euros 1984, Qualifiers"
2416,Scotland,1,,D,Belgium,1,,D,Group Stage,12.10.83,"Euros 1984, Qualifiers"
2417,Switzerland,3,,W,Belgium,1,,L,Group Stage,09.11.83,"Euros 1984, Qualifiers"
2418,GDR,2,,W,Scotland,1,,L,Group Stage,16.11.83,"Euros 1984, Qualifiers"
2419,Finland,2,,L,Poland,3,,W,Group Stage,08.09.82,"Euros 1984, Qualifiers"
2420,Finland,0,,L,Portugal,2,,W,Group Stage,22.09.82,"Euros 1984, Qualifiers"
2421,Portugal,2,,W,Poland,1,,L,Group Stage,10.10.82,"Euros 1984, Qualifiers"
2422,USSR,2,,W,Finland,0,,L,Group Stage,13.10.82,"Euros 1984, Qualifiers"
2423,Poland,1,,D,Finland,1,,D,Group Stage,17.04.83,"Euros 1984, Qualifiers"
2424,USSR,5,,W,Portugal,0,,L,Group Stage,27.04.83,"Euros 1984, Qualifiers"
2425,Poland,1,,D,USSR,1,,D,Group Stage,22.05.83,"Euros 1984, Qualifiers"
2426,Finland,0,,L,USSR,1,,W,Group Stage,01.06.83,"Euros 1984, Qualifiers"
2427,Portugal,5,,W,Finland,0,,L,Group Stage,21.09.83,"Euros 1984, Qualifiers"
2428,USSR,2,,W,Poland,0,,L,Group Stage,09.10.83,"Euros 1984, Qualifiers"
2429,Poland,0,,L,Portugal,1,,W,Group Stage,28.10.83,"Euros 1984, Qualifiers"
2430,Portugal,1,,W,USSR,0,,L,Group Stage,13.11.83,"Euros 1984, Qualifiers"
2431,Denmark,2,,D,England,2,,D,Group Stage,22.09.82,"Euros 1984, Qualifiers"
2432,Luxembourg,0,,L,Greece,2,,W,Group Stage,09.10.82,"Euros 1984, Qualifiers"
2433,Luxembourg,1,,L,Denmark,2,,W,Group Stage,10.11.82,"Euros 1984, Qualifiers"
2434,Greece,0,,L,England,3,,W,Group Stage,17.11.82,"Euros 1984, Qualifiers"
2435,England,9,,W,Luxembourg,0,,L,Group Stage,15.12.82,"Euros 1984, Qualifiers"
2436,Luxembourg,2,,L,Hungary,6,,W,Group Stage,27.03.83,"Euros 1984, Qualifiers"
2437,England,0,,D,Greece,0,,D,Group Stage,30.03.83,"Euros 1984, Qualifiers"
2438,Hungary,6,,W,Luxembourg,2,,L,Group Stage,17.04.83,"Euros 1984, Qualifiers"
2439,Denmark,1,,W,Greece,0,,L,Group Stage,27.04.83,"Euros 1984, Qualifiers"
2440,England,2,,W,Hungary,0,,L,Group Stage,27.04.83,"Euros 1984, Qualifiers"
2441,Hungary,2,,L,Greece,3,,W,Group Stage,15.05.83,"Euros 1984, Qualifiers"
2442,Denmark,3,,W,Hungary,1,,L,Group Stage,01.06.83,"Euros 1984, Qualifiers"
2443,England,0,,L,Denmark,1,,W,Group Stage,21.09.83,"Euros 1984, Qualifiers"
2444,Hungary,0,,L,England,3,,W,Group Stage,12.10.83,"Euros 1984, Qualifiers"
2445,Denmark,6,,W,Luxembourg,0,,L,Group Stage,12.10.83,"Euros 1984, Qualifiers"
2446,Hungary,1,,W,Denmark,0,,L,Group Stage,26.10.83,"Euros 1984, Qualifiers"
2447,Greece,0,,L,Denmark,2,,W,Group Stage,16.11.83,"Euros 1984, Qualifiers"
2448,Luxembourg,0,,L,England,4,,W,Group Stage,16.11.83,"Euros 1984, Qualifiers"
2449,Greece,2,,D,Hungary,2,,D,Group Stage,03.12.83,"Euros 1984, Qualifiers"
2450,Greece,1,,W,Luxembourg,0,,L,Group Stage,14.12.83,"Euros 1984, Qualifiers"
2451,Wales,1,,W,Norway,0,,L,Group Stage,22.09.82,"Euros 1984, Qualifiers"
2452,Norway,3,,W,Yugoslavia,1,,L,Group Stage,13.10.82,"Euros 1984, Qualifiers"
2453,Bulgaria,2,,D,Norway,2,,D,Group Stage,27.10.82,"Euros 1984, Qualifiers"
2454,Bulgaria,0,,L,Yugoslavia,1,,W,Group Stage,17.11.82,"Euros 1984, Qualifiers"
2455,Yugoslavia,4,,D,Wales,4,,D,Group Stage,15.12.82,"Euros 1984, Qualifiers"
2456,Wales,1,,W,Bulgaria,0,,L,Group Stage,27.04.83,"Euros 1984, Qualifiers"
2457,Norway,1,,L,Bulgaria,2,,W,Group Stage,07.09.83,"Euros 1984, Qualifiers"
2458,Norway,0,,D,Wales,0,,D,Group Stage,21.09.83,"Euros 1984, Qualifiers"
2459,Yugoslavia,2,,W,Norway,1,,L,Group Stage,12.10.83,"Euros 1984, Qualifiers"
2460,Bulgaria,1,,W,Wales,0,,L,Group Stage,16.10.83,"Euros 1984, Qualifiers"
2461,Wales,1,,D,Yugoslavia,1,,D,Group Stage,14.12.83,"Euros 1984, Qualifiers"
2462,Yugoslavia,3,,W,Bulgaria,2,,L,Group Stage,21.12.83,"Euros 1984, Qualifiers"
2463,Romania,3,,W,Cyprus,1,,L,Group Stage,01.05.82,"Euros 1984, Qualifiers"
2464,Romania,2,,W,Sweden,0,,L,Group Stage,08.09.82,"Euros 1984, Qualifiers"
2465,ČSSR,2,,D,Sweden,2,,D,Group Stage,06.10.82,"Euros 1984, Qualifiers"
2466,Italy,2,,D,ČSSR,2,,D,Group Stage,13.11.82,"Euros 1984, Qualifiers"
2467,Cyprus,0,,L,Sweden,1,,W,Group Stage,13.11.82,"Euros 1984, Qualifiers"
2468,Italy,0,,D,Romania,0,,D,Group Stage,04.12.82,"Euros 1984, Qualifiers"
2469,Cyprus,1,,D,Italy,1,,D,Group Stage,12.02.83,"Euros 1984, Qualifiers"
2470,Cyprus,1,,D,ČSSR,1,,D,Group Stage,27.03.83,"Euros 1984, Qualifiers"
2471,ČSSR,6,,W,Cyprus,0,,L,Group Stage,16.04.83,"Euros 1984, Qualifiers"
2472,Romania,1,,W,Italy,0,,L,Group Stage,16.04.83,"Euros 1984, Qualifiers"
2473,Sweden,5,,W,Cyprus,0,,L,Group Stage,15.05.83,"Euros 1984, Qualifiers"
2474,Romania,0,,L,ČSSR,1,,W,Group Stage,15.05.83,"Euros 1984, Qualifiers"
2475,Sweden,2,,W,Italy,0,,L,Group Stage,29.05.83,"Euros 1984, Qualifiers"
2476,Sweden,0,,L,Romania,1,,W,Group Stage,09.06.83,"Euros 1984, Qualifiers"
2477,Sweden,1,,W,ČSSR,0,,L,Group Stage,21.09.83,"Euros 1984, Qualifiers"
2478,Italy,0,,L,Sweden,3,,W,Group Stage,15.10.83,"Euros 1984, Qualifiers"
2479,Cyprus,0,,L,Romania,1,,W,Group Stage,12.11.83,"Euros 1984, Qualifiers"
2480,ČSSR,2,,W,Italy,0,,L,Group Stage,16.11.83,"Euros 1984, Qualifiers"
2481,ČSSR,1,,D,Romania,1,,D,Group Stage,30.11.83,"Euros 1984, Qualifiers"
2482,Italy,3,,W,Cyprus,1,,L,Group Stage,22.12.83,"Euros 1984, Qualifiers"
2483,Austria,5,,W,Albania,0,,L,Group Stage,22.09.82,"Euros 1984, Qualifiers"
2484,Austria,2,,W,North. Ireland,0,,L,Group Stage,13.10.82,"Euros 1984, Qualifiers"
2485,Türkiye,1,,W,Albania,0,,L,Group Stage,27.10.82,"Euros 1984, Qualifiers"
2486,Austria,4,,W,Türkiye,0,,L,Group Stage,17.11.82,"Euros 1984, Qualifiers"
2487,North. Ireland,1,,W,Germany,0,,L,Group Stage,17.11.82,"Euros 1984, Qualifiers"
2488,Albania,0,,D,North. Ireland,0,,D,Group Stage,15.12.82,"Euros 1984, Qualifiers"
2489,Albania,1,,L,Germany,2,,W,Group Stage,30.03.83,"Euros 1984, Qualifiers"
2490,North. Ireland,2,,W,Türkiye,1,,L,Group Stage,30.03.83,"Euros 1984, Qualifiers"
2491,Türkiye,0,,L,Germany,3,,W,Group Stage,23.04.83,"Euros 1984, Qualifiers"
2492,Austria,0,,D,Germany,0,,D,Group Stage,27.04.83,"Euros 1984, Qualifiers"
2493,North. Ireland,1,,W,Albania,0,,L,Group Stage,27.04.83,"Euros 1984, Qualifiers"
2494,Albania,1,,D,Türkiye,1,,D,Group Stage,11.05.83,"Euros 1984, Qualifiers"
2495,Albania,1,,L,Austria,2,,W,Group Stage,08.06.83,"Euros 1984, Qualifiers"
2496,North. Ireland,3,,W,Austria,1,,L,Group Stage,21.09.83,"Euros 1984, Qualifiers"
2497,Germany,3,,W,Austria,0,,L,Group Stage,05.10.83,"Euros 1984, Qualifiers"
2498,Türkiye,1,,W,North. Ireland,0,,L,Group Stage,12.10.83,"Euros 1984, Qualifiers"
2499,Germany,5,,W,Türkiye,1,,L,Group Stage,26.10.83,"Euros 1984, Qualifiers"
2500,Türkiye,3,,W,Austria,1,,L,Group Stage,16.11.83,"Euros 1984, Qualifiers"
2501,Germany,0,,L,North. Ireland,1,,W,Group Stage,16.11.83,"Euros 1984, Qualifiers"
2502,Germany,2,,W,Albania,1,,L,Group Stage,20.11.83,"Euros 1984, Qualifiers"
2503,Malta,2,,W,Iceland,1,,L,Group Stage,05.06.82,"Euros 1984, Qualifiers"
2504,Iceland,1,,D,Netherlands,1,,D,Group Stage,01.09.82,"Euros 1984, Qualifiers"
2505,Netherlands,2,,W,Ireland,1,,L,Group Stage,22.09.82,"Euros 1984, Qualifiers"
2506,Ireland,2,,W,Iceland,0,,L,Group Stage,13.10.82,"Euros 1984, Qualifiers"
2507,Spain,1,,W,Iceland,0,,L,Group Stage,27.10.82,"Euros 1984, Qualifiers"
2508,Ireland,3,,D,Spain,3,,D,Group Stage,17.11.82,"Euros 1984, Qualifiers"
2509,Malta,0,,L,Netherlands,6,,W,Group Stage,19.12.82,"Euros 1984, Qualifiers"
2510,Spain,1,,W,Netherlands,0,,L,Group Stage,16.02.83,"Euros 1984, Qualifiers"
2511,Malta,0,,L,Ireland,1,,W,Group Stage,30.03.83,"Euros 1984, Qualifiers"
2512,Spain,2,,W,Ireland,0,,L,Group Stage,27.04.83,"Euros 1984, Qualifiers"
2513,Malta,2,,L,Spain,3,,W,Group Stage,15.05.83,"Euros 1984, Qualifiers"
2514,Iceland,0,,L,Spain,1,,W,Group Stage,29.05.83,"Euros 1984, Qualifiers"
2515,Iceland,1,,W,Malta,0,,L,Group Stage,05.06.83,"Euros 1984, Qualifiers"
2516,Netherlands,3,,W,Iceland,0,,L,Group Stage,07.09.83,"Euros 1984, Qualifiers"
2517,Iceland,0,,L,Ireland,3,,W,Group Stage,21.09.83,"Euros 1984, Qualifiers"
2518,Ireland,2,,L,Netherlands,3,,W,Group Stage,12.10.83,"Euros 1984, Qualifiers"
2519,Netherlands,2,,W,Spain,1,,L,Group Stage,16.11.83,"Euros 1984, Qualifiers"
2520,Ireland,8,,W,Malta,0,,L,Group Stage,16.11.83,"Euros 1984, Qualifiers"
2521,Netherlands,5,,W,Malta,0,,L,Group Stage,17.12.83,"Euros 1984, Qualifiers"
2522,Spain,12,,W,Malta,1,,L,Group Stage,21.12.83,"Euros 1984, Qualifiers"
2523,Germany,2,,W,Belgium,1,,L,Final,22.06.80,Euros 1980
2524,ČSSR,1,9,W,Italy,1,8,L,Third place play-off,21.06.80,Euros 1980
2525,Germany,1,,W,ČSSR,0,,L,Group Stage,11.06.80,Euros 1980
2526,Netherlands,1,,W,Greece,0,,L,Group Stage,11.06.80,Euros 1980
2527,Germany,3,,W,Netherlands,2,,L,Group Stage,14.06.80,Euros 1980
2528,ČSSR,3,,W,Greece,1,,L,Group Stage,14.06.80,Euros 1980
2529,ČSSR,1,,D,Netherlands,1,,D,Group Stage,17.06.80,Euros 1980
2530,Germany,0,,D,Greece,0,,D,Group Stage,17.06.80,Euros 1980
2531,Belgium,1,,D,England,1,,D,Group Stage,12.06.80,Euros 1980
2532,Spain,0,,D,Italy,0,,D,Group Stage,12.06.80,Euros 1980
2533,Spain,1,,L,Belgium,2,,W,Group Stage,15.06.80,Euros 1980
2534,Italy,1,,W,England,0,,L,Group Stage,15.06.80,Euros 1980
2535,Spain,1,,L,England,2,,W,Group Stage,18.06.80,Euros 1980
2536,Italy,0,,D,Belgium,0,,D,Group Stage,18.06.80,Euros 1980
2537,Denmark,3,,D,Ireland,3,,D,Group Stage,24.05.78,"Euros 1980, Qualifiers"
2538,Ireland,0,,D,North. Ireland,0,,D,Group Stage,20.09.78,"Euros 1980, Qualifiers"
2539,Denmark,3,,L,England,4,,W,Group Stage,20.09.78,"Euros 1980, Qualifiers"
2540,Denmark,2,,D,Bulgaria,2,,D,Group Stage,11.10.78,"Euros 1980, Qualifiers"
2541,Ireland,1,,D,England,1,,D,Group Stage,25.10.78,"Euros 1980, Qualifiers"
